legislator_id,text
2,Another win for @BarackObama in the 3rd Presidential #debate. Too bad there's not a 4th one. The President would win that as well.
2,Today @Newsday reports on my analysis previewing tonight's foreign policy #debate between @BarackObama and @MittRomney. http://t.co/BLCTVm54
2,@Newsday reports on my analysis previewing tonight's foreign policy #debate between @BarackObama and @MittRomney. http://t.co/BLCTVm54
2,The @NewYorkPost gossip columist Cindy Adams mentions me in her column today. http://t.co/t0x9jqq4
2,Barack Obama brought his A-game to #LongIsland and ko'd Mitt Romney in the middle of #NassauCounty. Well done Mr. President.
2,Will soon be heading to @HofstraU for tonight’s debate. It’s just 20 minutes from my house. Will of course be rooting for our cmdr in chief.
2,Happy to welcome #BarackObama &amp; #MittRomney to #LongIsland for their 2nd showdown. Just not sure which Mitt Romney will show-up here.
2,Pleased to announce that #FEMA has awarded @NorthHempstead more than $1.2 million to pay for cleanup costs caused by #HurricaneIrene.
2,Way to go Joe! Biden trounced Ryan in the #VPDebate. Look forward to @BarackObama doing the same to Mitt Romney next week.
2,The @HearstCorp - which owns a number of publications around the country - posted a story about my upcoming retirement. http://t.co/Jb31hrAQ
2,@HearstCorp - which owns a number of newspapers around the country - posted a story about my upcoming retirement. http://t.co/Jb31hrAQ
3,No Christie fan but "Bridgegate" is small potatoes vs Ambdr Stevens + 3 others killed due to neglect/mismgmt -selective outrage #Benghazi
3,Congrats to Claire Noles of Boaz on being named Uncle Ben's "Ben’s Beginners" Cooking Contest Grand Prize Winner! Dinner is #familytime
3,Hosting a reception in Cullman today to honor Evelyn Stevens' years of service to the people in north Alabama.... http://t.co/QUCwp7P4A6
3,@RepWOLFPress Announced last night is the retirement of a champion for religious freedoms + human rights. Frank will be missed day he leaves
3,Congratulations @BradleyByrne on continuing the tradition of fine statesmen that #AL01 has sent to Congress; a good man to fill big shoes
3,Obamacare = (Bait + Switch) x Broken Promises "@thehill: Poll: People with insurance sour on ObamaCare http://t.co/uG6rX0mIym"
